,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,1.477321243286133,0.07371203591204877,0.009309625625610352,0.00032142098483616265,0.4,0.05,0.01,5,200,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.9}",0.2831858407079646,0.3185840707964602,0.36283185840707965,0.2831858407079646,0.3274336283185841,0.31504424778761064,0.02993191951378366,89
60,1.7906277179718018,0.1079932792349305,0.011831426620483398,0.0018343280092214865,0.4,0.05,0.01,5,250,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.5}",0.2831858407079646,0.3008849557522124,0.3274336283185841,0.2920353982300885,0.336283185840708,0.30796460176991153,0.020488206907593325,180
61,1.8685550689697266,0.08933545371007927,0.011377716064453125,0.0006092959379902468,0.4,0.05,0.01,5,250,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.7}",0.2743362831858407,0.2831858407079646,0.35398230088495575,0.3008849557522124,0.336283185840708,0.30973451327433627,0.03065576650564385,170
62,1.804316806793213,0.11531466892893626,0.01134028434753418,0.0006760341653178182,0.4,0.05,0.01,5,250,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.9}",0.2831858407079646,0.3008849557522124,0.34513274336283184,0.2920353982300885,0.336283185840708,0.3115044247787611,0.024652014649883397,119
63,1.234921646118164,0.08479491833155833,0.007911968231201171,0.00037110859032848833,0.4,0.05,0.01,6,150,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.5}",0.2920353982300885,0.2831858407079646,0.35398230088495575,0.2920353982300885,0.3274336283185841,0.3097345132743363,0.02684203697009398,149
64,1.2716915607452393,0.05817863305386819,0.008379459381103516,0.00033595081367463224,0.4,0.05,0.01,6,150,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.7}",0.3008849557522124,0.3008849557522124,0.37168141592920356,0.3185840707964602,0.3274336283185841,0.32389380530973455,0.026012280454334635,13
65,1.3211264133453369,0.06021758451463866,0.009801816940307618,0.002786552078211673,0.4,0.05,0.01,6,150,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.9}",0.2920353982300885,0.30973451327433627,0.35398230088495575,0.2831858407079646,0.3185840707964602,0.3115044247787611,0.024652014649883397,119
66,1.5963749885559082,0.04684607309746589,0.009830951690673828,0.0008636957119716764,0.4,0.05,0.01,6,200,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.2920353982300885,0.2920353982300885,0.34513274336283184,0.2920353982300885,0.34513274336283184,0.31327433628318585,0.02601228045433462,110
67,1.7407992362976075,0.06238735544689535,0.012027740478515625,0.0019560349905597962,0.4,0.05,0.01,6,200,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",0.3008849557522124,0.3274336283185841,0.35398230088495575,0.3185840707964602,0.35398230088495575,0.33097345132743367,0.020640537680868314,3
68,1.7199317455291747,0.08035133068934877,0.010512304306030274,0.00027149461335191835,0.4,0.05,0.01,6,200,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",0.2831858407079646,0.3274336283185841,0.34513274336283184,0.2831858407079646,0.3274336283185841,0.3132743362831859,0.02540300901665013,103
69,1.9869019031524657,0.10502286375347705,0.011645221710205078,0.0005653514873353792,0.4,0.05,0.01,6,250,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 250, 'subsample': 0.5}",0.2831858407079646,0.2831858407079646,0.34513274336283184,0.2920353982300885,0.336283185840708,0.30796460176991153,0.027074439895182927,180
70,2.1873428344726564,0.1662428760384568,0.012285518646240234,0.00041734313588269494,0.4,0.05,0.01,6,250,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 250, 'subsample': 0.7}",0.2831858407079646,0.30973451327433627,0.34513274336283184,0.3008849557522124,0.35398230088495575,0.31858407079646023,0.026842036970093977,47
71,2.1917014598846434,0.11112219013928468,0.012953567504882812,0.0005961519033603345,0.4,0.05,0.01,6,250,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 250, 'subsample': 0.9}",0.3008849557522124,0.3185840707964602,0.35398230088495575,0.2743362831858407,0.336283185840708,0.3168141592920354,0.02764690150763418,76
72,1.2457314014434815,0.05078395156561667,0.008085870742797851,0.0006728735730528642,0.4,0.05,0.01,7,150,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.5}",0.2920353982300885,0.2920353982300885,0.35398230088495575,0.2920353982300885,0.3274336283185841,0.31150442477876106,0.025279392667408314,143
73,1.4094238758087159,0.06732815638558415,0.00955977439880371,0.0010678539275799398,0.4,0.05,0.01,7,150,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.7}",0.2831858407079646,0.3008849557522124,0.35398230088495575,0.3274336283185841,0.3274336283185841,0.3185840707964602,0.024396546463876498,62
74,1.4439007759094238,0.11814010823059884,0.009502267837524414,0.0005500950733335824,0.4,0.05,0.01,7,150,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.9}",0.2920353982300885,0.3185840707964602,0.35398230088495575,0.2831858407079646,0.3274336283185841,0.31504424778761064,0.02540300901665013,89
75,1.7779088020324707,0.12136994846506709,0.01011500358581543,0.00038098673045655233,0.4,0.05,0.01,7,200,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.5}",0.2920353982300885,0.3008849557522124,0.34513274336283184,0.2920353982300885,0.34513274336283184,0.3150442477876106,0.02477876106194689,100
76,1.8875245571136474,0.12625831355318112,0.011222314834594727,0.001030174941059782,0.4,0.05,0.01,7,200,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.7}",0.2920353982300885,0.3185840707964602,0.34513274336283184,0.3274336283185841,0.336283185840708,0.32389380530973455,0.018222354231835398,13
77,1.8990635871887207,0.07175031476786731,0.011732816696166992,0.0007925149621813827,0.4,0.05,0.01,7,200,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.9}",0.2920353982300885,0.3274336283185841,0.34513274336283184,0.3008849557522124,0.336283185840708,0.32035398230088497,0.02048820690759331,35
78,2.121913290023804,0.09708825518037703,0.01156926155090332,0.00023620965019096758,0.4,0.05,0.01,7,250,0.5,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250, 'subsample': 0.5}",0.2920353982300885,0.3008849557522124,0.336283185840708,0.2831858407079646,0.34513274336283184,0.3115044247787611,0.024652014649883397,119
79,2.381628179550171,0.10096953234923434,0.014977550506591797,0.0025061486840271324,0.4,0.05,0.01,7,250,0.7,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250, 'subsample': 0.7}",0.2831858407079646,0.3185840707964602,0.3274336283185841,0.3008849557522124,0.34513274336283184,0.31504424778761064,0.021385922077158528,89
80,2.4936684131622315,0.16021214888658836,0.015627288818359376,0.002558430233785753,0.4,0.05,0.01,7,250,0.9,"{'colsample_bytree': 0.4, 'gamma': 0.05, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250, 'subsample': 0.9}",0.3008849557522124,0.3274336283185841,0.34513274336283184,0.2920353982300885,0.34513274336283184,0.3221238938053097,0.022106187604950065,29
81,1.2405360698699952,0.07498542434519592,0.007961130142211914,0.0007867353830515038,0.5,0,0.01,5,150,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.5}",0.2920353982300885,0.3008849557522124,0.34513274336283184,0.2743362831858407,0.3185840707964602,0.30619469026548674,0.024138374684930713,209
82,1.3032542228698731,0.07384716068300251,0.009348678588867187,0.002076949727170449,0.5,0,0.01,5,150,0.7,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.2920353982300885,0.2920353982300885,0.34513274336283184,0.3008849557522124,0.336283185840708,0.31327433628318585,0.022803714560575436,110
83,1.2647952079772948,0.08639885159270977,0.008586978912353516,0.000815187612765086,0.5,0,0.01,5,150,0.9,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.9}",0.2831858407079646,0.2920353982300885,0.336283185840708,0.2743362831858407,0.3274336283185841,0.3026548672566372,0.024652014649883407,230
